card_status     card_exists     amount_vs_daily amount_vs_monthly       amount_vs_balance       expiry  terminal_type  mcc
EXPIRED yes     below   below   below   valid   POS     restaurant
INACTIVE        yes     below   below   below   current_month   ECOM    restaurant
EXPIRED yes     below   below   below   current_month   ATM     travel
INACTIVE        yes     below   below   below   expired POS     electronics
EXPIRED yes     below   below   below   expired ECOM    grocery
BLOCKED yes     below   below   below   expired ATM     restaurant
ACTIVE  yes     equal   equal   equal   valid   POS     travel
BLOCKED yes     below   below   below   current_month   POS     grocery
BLOCKED yes     below   below   below   valid   ECOM    electronics
ACTIVE  yes     above   below   above   valid   ATM     grocery
ACTIVE  yes     equal   equal   above   current_month   ECOM    grocery
ACTIVE  yes     equal   above   equal   current_month   ATM     electronics
ACTIVE  yes     above   above   equal   current_month   ECOM    restaurant
ACTIVE  yes     below   equal   above   valid   ATM     electronics
EXPIRED yes     below   below   below   valid   POS     electronics
ACTIVE  yes     below   below   equal   valid   POS     grocery
ACTIVE  no      below   below   below   valid   POS     electronics
INACTIVE        yes     below   below   below   valid   ATM     travel
ACTIVE  yes     equal   above   above   valid   POS     restaurant
ACTIVE  yes     above   equal   below   current_month   ATM     restaurant
ACTIVE  no      below   below   below   valid   ATM     restaurant
BLOCKED yes     below   below   below   expired ECOM    travel
ACTIVE  no      below   below   below   valid   ECOM    travel
ACTIVE  yes     above   above   below   current_month   POS     travel
ACTIVE  yes     equal   below   below   current_month   ECOM    grocery
ACTIVE  yes     below   below   below   expired POS     grocery
ACTIVE  no      below   below   below   valid   ATM     grocery
ACTIVE  yes     above   above   above   valid   ECOM    electronics
ACTIVE  yes     below   above   above   valid   ATM     travel
INACTIVE        yes     below   below   below   expired ECOM    grocery
ACTIVE  yes     equal   above   below   valid   POS     grocery
